Order ID,Order Date,Year-Month,CustomerName,Segment,Category,Sub-Category,Product,Quantity,Price,Amount,Discount,Profit,PaymentMode,Ship Mode,City,State,Postal Code,Region,Country
B-25730,2023-08-21,2023-08,Austin White,Corporate,Electronics,Phones,Smartphone,17,168.41,2863.0,0.8,205.0,UPI,Standard Class,Los Angeles,California,91505.0,West,United States
B-26470,2024-12-27,2024-12,Morgan Montes,Corporate,Furniture,Tables,Table,6,515.0,3090.0,0.0,573.0,EMI,Second Class,San Diego,California,94061.0,West,United States
B-26470,2021-06-18,2021-06,Christine Mosley,Corporate,Furniture,Tables,Table,6,515.0,3090.0,0.2,573.0,EMI,Standard Class,Cincinnati,Ohio,45503.0,East,United States
B-26470,2023-05-27,2023-05,Ashley Rodriguez,Corporate,Furniture,Tables,Table,6,515.0,3090.0,0.0,573.0,EMI,Standard Class,Austin,Texas,77489.0,Central,United States
B-26470,2021-10-12,2021-10,Elizabeth King,Consumer,Furniture,Tables,Table,6,515.0,3090.0,0.0,573.0,EMI,Standard Class,Dallas,Texas,77536.0,Central,United States
B-26470,2024-12-27,2024-12,Morgan Montes,Corporate,Electronics,Printers,Printer,5,1936.6,9683.0,0.4,1014.0,UPI,Standard Class,San Diego,California,92236.0,West,United States
B-26470,2021-06-18,2021-06,Christine Mosley,Consumer,Electronics,Printers,Printer,5,1936.6,9683.0,0.0,1014.0,UPI,First Class,Cincinnati,Ohio,43615.0,East,United States
B-26470,2023-05-27,2023-05,Ashley Rodriguez,Corporate,Electronics,Printers,Printer,5,1936.6,9683.0,0.0,1014.0,UPI,Second Class,Austin,Texas,76017.0,Central,United States
B-26470,2021-10-12,2021-10,Elizabeth King,Consumer,Electronics,Printers,Printer,5,1936.6,9683.0,0.2,1014.0,UPI,Second Class,Dallas,Texas,76248.0,Central,United States
B-25988,2022-09-19,2022-09,Connie Holmes,Home Office,Furniture,Tables,Table,18,136.83,2463.0,0.0,648.0,EMI,Standard Class,Cincinnati,Ohio,44060.0,East,United States
B-25568,2022-03-25,2022-03,Melissa Peck,Consumer,Furniture,Sofas,Sofa,12,650.92,7811.0,0.0,1538.0,COD,Second Class,Miami,Florida,33134.0,South,United States
B-26730,2022-02-26,2022-02,David Smith,Corporate,Furniture,Tables,Table,10,613.9,6139.0,0.0,451.0,Debit Card,Standard Class,Orlando,Florida,33311.0,South,United States
B-26730,2021-04-05,2021-04,Jacqueline Harris,Corporate,Furniture,Tables,Table,10,613.9,6139.0,0.0,451.0,Debit Card,Standard Class,Houston,Texas,75034.0,Central,United States
B-26730,2022-02-26,2022-02,David Smith,Consumer,Furniture,Chairs,Chair,3,2878.67,8636.0,0.0,3192.0,COD,Same Day,Orlando,Florida,32712.0,South,United States
B-26730,2021-04-05,2021-04,Jacqueline Harris,Consumer,Furniture,Chairs,Chair,3,2878.67,8636.0,0.8,3192.0,COD,Second Class,Houston,Texas,79424.0,Central,United States
B-26730,2022-02-26,2022-02,David Smith,Consumer,Furniture,Sofas,Sofa,19,233.63,4439.0,0.2,1712.0,Credit Card,Standard Class,Orlando,Florida,32303.0,South,United States
B-26730,2021-04-05,2021-04,Jacqueline Harris,Consumer,Furniture,Sofas,Sofa,19,233.63,4439.0,0.2,1712.0,Credit Card,Second Class,Houston,Texas,77301.0,Central,United States
B-25372,2020-11-16,2020-11,Heather Jenkins,Consumer,Furniture,Tables,Table,20,50.8,1016.0,0.2,172.0,Debit Card,First Class,Buffalo,New York,10011.0,East,United States
B-25372,2020-11-16,2020-11,Heather Jenkins,Consumer,Furniture,Tables,Table,14,412.0,5768.0,0.0,2059.0,UPI,Second Class,Buffalo,New York,13501.0,East,United States
B-25372,2020-11-16,2020-11,Heather Jenkins,Corporate,Furniture,Tables,Table,3,405.67,1217.0,0.2,151.0,Credit Card,Standard Class,Buffalo,New York,11757.0,East,United States
B-26026,2024-12-12,2024-12,Kelsey Castaneda,Consumer,Office Supplies,Paper,Paper Pack,2,476.5,953.0,0.4,93.0,Debit Card,Standard Class,Cleveland,Ohio,44240.0,East,United States
B-26026,2023-04-06,2023-04,Katherine Harris,Corporate,Office Supplies,Paper,Paper Pack,2,476.5,953.0,0.0,93.0,Debit Card,Standard Class,Los Angeles,California,91104.0,West,United States
B-26026,2024-12-12,2024-12,Kelsey Castaneda,Corporate,Furniture,Sofas,Sofa,3,2451.67,7355.0,0.2,1034.0,COD,Standard Class,Cleveland,Ohio,44060.0,East,United States
B-26026,2023-04-06,2023-04,Katherine Harris,Home Office,Furniture,Sofas,Sofa,3,2451.67,7355.0,0.1,1034.0,COD,Standard Class,Los Angeles,California,94568.0,West,United States
B-26026,2024-12-12,2024-12,Kelsey Castaneda,Home Office,Electronics,Phones,Smartphone,3,614.33,1843.0,0.0,248.0,Credit Card,First Class,Cleveland,Ohio,45040.0,East,United States
B-26026,2023-04-06,2023-04,Katherine Harris,Consumer,Electronics,Phones,Smartphone,3,614.33,1843.0,0.2,248.0,Credit Card,First Class,Los Angeles,California,95351.0,West,United States
B-26026,2024-12-12,2024-12,Kelsey Castaneda,Consumer,Office Supplies,Pens,Pen,10,160.3,1603.0,0.3,361.0,Debit Card,Standard Class,Cleveland,Ohio,44105.0,East,United States
B-26026,2023-04-06,2023-04,Katherine Harris,Corporate,Office Supplies,Pens,Pen,10,160.3,1603.0,0.2,361.0,Debit Card,Second Class,Los Angeles,California,91360.0,West,United States
B-25295,2024-01-28,2024-01,Paul Rogers,Consumer,Office Supplies,Pens,Pen,1,2025.0,2025.0,0.7,528.0,Credit Card,Standard Class,Miami,Florida,33161.0,South,United States
B-25295,2024-01-28,2024-01,Paul Rogers,Consumer,Office Supplies,Binders,Binder,16,425.0,6800.0,0.0,167.0,EMI,First Class,Miami,Florida,33134.0,South,United States
B-26121,2022-01-16,2022-01,Jon Banks,Consumer,Furniture,Bookcases,Bookcase,1,1126.0,1126.0,0.0,55.0,UPI,Standard Class,Tampa,Florida,32303.0,South,United States
B-26121,2022-12-16,2022-12,Michelle Williams,Consumer,Furniture,Bookcases,Bookcase,1,1126.0,1126.0,0.2,55.0,UPI,Standard Class,Buffalo,New York,14701.0,East,United States
B-25560,2023-07-13,2023-07,Andrew Allen,Consumer,Furniture,Tables,Table,12,627.75,7533.0,0.0,3508.0,UPI,Standard Class,San Diego,California,95037.0,West,United States
B-25560,2023-07-13,2023-07,Andrew Allen,Consumer,Office Supplies,Binders,Binder,16,295.88,4734.0,0.2,1178.0,Credit Card,Standard Class,San Diego,California,92399.0,West,United States
B-25560,2023-07-13,2023-07,Andrew Allen,Consumer,Electronics,Electronic Games,Smartwatch,6,679.0,4074.0,0.0,1175.0,Debit Card,Standard Class,San Diego,California,90008.0,West,United States
B-25560,2023-07-13,2023-07,Andrew Allen,Corporate,Furniture,Sofas,Sofa,3,778.0,2334.0,0.2,484.0,Credit Card,Standard Class,San Diego,California,92024.0,West,United States
B-26076,2025-03-10,2025-03,Vanessa Bauer,Consumer,Electronics,Phones,Smartphone,11,250.0,2750.0,0.0,1239.0,Debit Card,First Class,Buffalo,New York,14304.0,East,United States
B-26076,2024-09-24,2024-09,Sean Smith,Home Office,Electronics,Phones,Smartphone,11,250.0,2750.0,0.0,1239.0,Debit Card,Standard Class,Cleveland,Ohio,45040.0,East,United States
B-26076,2025-03-10,2025-03,Vanessa Bauer,Consumer,Office Supplies,Pens,Pen,19,454.68,8639.0,0.0,3104.0,EMI,Standard Class,Buffalo,New York,14701.0,East,United States
B-26076,2024-09-24,2024-09,Sean Smith,Consumer,Office Supplies,Pens,Pen,19,454.68,8639.0,0.0,3104.0,EMI,Same Day,Cleveland,Ohio,44060.0,East,United States
B-25872,2020-04-13,2020-04,Shelly Sweeney,Corporate,Office Supplies,Markers,Marker,4,952.0,3808.0,0.0,1192.0,UPI,Standard Class,New York City,New York,13501.0,East,United States
B-25872,2020-04-13,2020-04,Shelly Sweeney,Consumer,Office Supplies,Pens,Pen,16,161.75,2588.0,0.2,705.0,Credit Card,Standard Class,New York City,New York,14609.0,East,United States
B-26185,2022-06-27,2022-06,Emily Gill,Corporate,Electronics,Electronic Games,Smartwatch,5,318.2,1591.0,0.2,727.0,Credit Card,Standard Class,Springfield,Illinois,60126.0,Central,United States
B-26185,2021-03-14,2021-03,Brian Patrick,Consumer,Electronics,Electronic Games,Smartwatch,5,318.2,1591.0,0.2,727.0,Credit Card,Standard Class,Tampa,Florida,34952.0,South,United States
B-26185,2022-02-23,2022-02,Dr. Sarah Booth,Consumer,Electronics,Electronic Games,Smartwatch,5,318.2,1591.0,0.8,727.0,Credit Card,Second Class,Cincinnati,Ohio,43615.0,East,United States
B-26259,2022-03-29,2022-03,Douglas Mcfarland,Consumer,Furniture,Chairs,Chair,10,175.7,1757.0,0.0,622.0,UPI,First Class,Cleveland,Ohio,43402.0,East,United States
B-26259,2022-11-20,2022-11,Kayla Ross,Consumer,Furniture,Chairs,Chair,10,175.7,1757.0,0.0,622.0,UPI,Standard Class,Peoria,Illinois,60025.0,Central,United States
B-25142,2021-11-12,2021-11,Marc Strickland,Consumer,Furniture,Bookcases,Bookcase,15,462.67,6940.0,0.0,253.0,Debit Card,Standard Class,Orlando,Florida,33063.0,South,United States
B-25142,2021-11-12,2021-11,Marc Strickland,Home Office,Electronics,Printers,Printer,5,1021.0,5105.0,0.2,465.0,UPI,Standard Class,Orlando,Florida,33134.0,South,United States
B-25326,2021-08-17,2021-08,Charlene Brown,Consumer,Furniture,Tables,Table,16,348.62,5578.0,0.2,277.0,COD,Same Day,Miami,Florida,33063.0,South,United States
B-25326,2022-05-16,2022-05,Charles Smith,Home Office,Furniture,Tables,Table,16,348.62,5578.0,0.7,277.0,COD,Standard Class,Columbus,Ohio,44240.0,East,United States
B-26795,2023-07-16,2023-07,Karen Townsend,Consumer,Furniture,Chairs,Chair,16,326.5,5224.0,0.2,1958.0,Credit Card,Same Day,Houston,Texas,78666.0,Central,United States
B-26795,2023-07-16,2023-07,Karen Townsend,Consumer,Office Supplies,Markers,Marker,11,454.73,5002.0,0.2,1801.0,Credit Card,First Class,Houston,Texas,76903.0,Central,United States
B-26795,2023-07-16,2023-07,Karen Townsend,Consumer,Office Supplies,Markers,Marker,18,410.0,7380.0,0.2,1673.0,COD,Standard Class,Houston,Texas,76051.0,Central,United States
B-25660,2020-08-18,2020-08,Steven Cox,Consumer,Furniture,Chairs,Chair,4,1898.75,7595.0,0.0,2873.0,Debit Card,Second Class,Los Angeles,California,92646.0,West,United States
B-25660,2022-04-19,2022-04,Cynthia Rodriguez,Home Office,Furniture,Chairs,Chair,4,1898.75,7595.0,0.0,2873.0,Debit Card,Second Class,Rochester,New York,11757.0,East,United States
B-25410,2022-12-23,2022-12,Jessica Baker,Corporate,Furniture,Sofas,Sofa,7,279.14,1954.0,0.0,294.0,Debit Card,Standard Class,Austin,Texas,76051.0,Central,United States
B-25690,2024-12-07,2024-12,Mark Blackburn,Consumer,Electronics,Printers,Printer,20,26.15,523.0,0.0,95.0,EMI,Standard Class,Dallas,Texas,77506.0,Central,United States
B-26464,2022-02-03,2022-02,Zachary Perez,Corporate,Electronics,Laptops,Laptop,13,438.77,5704.0,0.2,714.0,EMI,Second Class,Austin,Texas,78666.0,Central,United States
B-26464,2021-12-12,2021-12,Brian Green,Home Office,Electronics,Laptops,Laptop,13,438.77,5704.0,0.0,714.0,EMI,Standard Class,San Diego,California,92374.0,West,United States
B-26464,2022-02-03,2022-02,Zachary Perez,Consumer,Furniture,Tables,Table,8,1099.62,8797.0,0.0,1010.0,UPI,Standard Class,Austin,Texas,78521.0,Central,United States
B-26464,2021-12-12,2021-12,Brian Green,Home Office,Furniture,Tables,Table,8,1099.62,8797.0,0.0,1010.0,UPI,Standard Class,San Diego,California,93727.0,West,United States
B-26464,2022-02-03,2022-02,Zachary Perez,Corporate,Electronics,Laptops,Laptop,5,1847.2,9236.0,0.0,2899.0,Debit Card,Same Day,Austin,Texas,76106.0,Central,United States
B-26464,2021-12-12,2021-12,Brian Green,Corporate,Electronics,Laptops,Laptop,5,1847.2,9236.0,0.3,2899.0,Debit Card,First Class,San Diego,California,92563.0,West,United States
B-26454,2020-05-17,2020-05,Becky Leach,Consumer,Furniture,Sofas,Sofa,17,535.82,9109.0,0.0,586.0,EMI,Standard Class,Miami,Florida,33012.0,South,United States
B-26742,2022-12-05,2022-12,Bryan Russell,Consumer,Electronics,Phones,Smartphone,19,229.37,4358.0,0.0,526.0,Credit Card,Standard Class,Dallas,Texas,75150.0,Central,United States
B-26742,2024-09-17,2024-09,Tony Maddox,Corporate,Electronics,Phones,Smartphone,19,229.37,4358.0,0.0,526.0,Credit Card,Standard Class,San Francisco,California,90301.0,West,United States
B-26742,2022-12-05,2022-12,Bryan Russell,Consumer,Electronics,Phones,Smartphone,8,807.38,6459.0,0.2,825.0,Credit Card,First Class,Dallas,Texas,77301.0,Central,United States
B-26742,2024-09-17,2024-09,Tony Maddox,Corporate,Electronics,Phones,Smartphone,8,807.38,6459.0,0.0,825.0,Credit Card,First Class,San Francisco,California,95336.0,West,United States
B-25510,2023-05-08,2023-05,Jason Randolph,Consumer,Furniture,Bookcases,Bookcase,12,206.5,2478.0,0.0,92.0,COD,Standard Class,San Francisco,California,94403.0,West,United States
B-25510,2021-03-03,2021-03,Laura Andrews,Consumer,Furniture,Bookcases,Bookcase,12,206.5,2478.0,0.0,92.0,COD,Second Class,New York City,New York,10024.0,East,United States
B-25510,2021-03-18,2021-03,Mrs. Stephanie Hooper,Corporate,Furniture,Bookcases,Bookcase,12,206.5,2478.0,0.2,92.0,COD,Second Class,San Francisco,California,91776.0,West,United States
B-25510,2023-04-24,2023-04,Anthony Evans,Consumer,Furniture,Bookcases,Bookcase,12,206.5,2478.0,0.0,92.0,COD,Standard Class,Cleveland,Ohio,45040.0,East,United States
B-25936,2021-10-09,2021-10,Patrick Williams,Home Office,Office Supplies,Pens,Pen,20,499.6,9992.0,0.2,3696.0,Debit Card,Second Class,Rochester,New York,10024.0,East,United States
B-25936,2022-04-15,2022-04,Susan Burke,Corporate,Office Supplies,Pens,Pen,20,499.6,9992.0,0.2,3696.0,Debit Card,Standard Class,Austin,Texas,75056.0,Central,United States
B-25936,2022-08-29,2022-08,Brent Hernandez,Consumer,Office Supplies,Pens,Pen,20,499.6,9992.0,0.2,3696.0,Debit Card,Second Class,Rochester,New York,10024.0,East,United States
B-25936,2021-10-09,2021-10,Patrick Williams,Home Office,Office Supplies,Binders,Binder,7,1374.14,9619.0,0.2,3420.0,UPI,Standard Class,Rochester,New York,13501.0,East,United States
B-25936,2022-04-15,2022-04,Susan Burke,Consumer,Office Supplies,Binders,Binder,7,1374.14,9619.0,0.0,3420.0,UPI,Standard Class,Austin,Texas,78041.0,Central,United States
B-25936,2022-08-29,2022-08,Brent Hernandez,Corporate,Office Supplies,Binders,Binder,7,1374.14,9619.0,0.0,3420.0,UPI,Standard Class,Rochester,New York,10550.0,East,United States
B-25884,2024-09-04,2024-09,Sean Elliott,Consumer,Electronics,Printers,Printer,20,476.9,9538.0,0.2,3158.0,Credit Card,Standard Class,San Francisco,California,92037.0,West,United States
B-25884,2021-05-18,2021-05,Wanda West,Home Office,Electronics,Printers,Printer,20,476.9,9538.0,0.0,3158.0,Credit Card,First Class,Cleveland,Ohio,44240.0,East,United States
B-25884,2024-09-04,2024-09,Sean Elliott,Corporate,Furniture,Chairs,Chair,14,645.36,9035.0,0.0,1227.0,EMI,First Class,San Francisco,California,90008.0,West,United States
B-25884,2021-05-18,2021-05,Wanda West,Consumer,Furniture,Chairs,Chair,14,645.36,9035.0,0.7,1227.0,EMI,First Class,Cleveland,Ohio,43055.0,East,United States
B-26287,2024-07-02,2024-07,Renee Solomon,Consumer,Office Supplies,Paper,Paper Pack,2,1342.0,2684.0,0.0,670.0,COD,Standard Class,Tampa,Florida,33178.0,South,United States
B-26287,2024-07-02,2024-07,Renee Solomon,Consumer,Furniture,Sofas,Sofa,5,164.4,822.0,0.2,147.0,Credit Card,Standard Class,Tampa,Florida,33445.0,South,United States
B-26287,2024-07-02,2024-07,Renee Solomon,Consumer,Furniture,Chairs,Chair,2,4865.0,9730.0,0.8,2341.0,EMI,First Class,Tampa,Florida,33023.0,South,United States
B-26287,2024-07-02,2024-07,Renee Solomon,Consumer,Electronics,Electronic Games,Smartwatch,2,1241.5,2483.0,0.0,236.0,COD,Same Day,Tampa,Florida,32303.0,South,United States
B-26564,2024-02-16,2024-02,Daryl Miles,Consumer,Office Supplies,Binders,Binder,7,185.29,1297.0,0.2,600.0,Credit Card,Standard Class,Orlando,Florida,33068.0,South,United States
B-26564,2024-02-16,2024-02,Daryl Miles,Consumer,Electronics,Phones,Smartphone,19,416.26,7909.0,0.0,1942.0,COD,Standard Class,Orlando,Florida,33012.0,South,United States
B-26293,2021-11-26,2021-11,Michael Hunt,Consumer,Furniture,Tables,Table,8,1221.0,9768.0,0.2,4518.0,Credit Card,Standard Class,Dallas,Texas,77095.0,Central,United States
B-26293,2021-11-26,2021-11,Michael Hunt,Corporate,Furniture,Sofas,Sofa,5,993.6,4968.0,0.8,934.0,Debit Card,Second Class,Dallas,Texas,78041.0,Central,United States
B-26293,2021-11-26,2021-11,Michael Hunt,Consumer,Electronics,Laptops,Laptop,4,432.75,1731.0,0.0,149.0,EMI,Second Class,Dallas,Texas,77340.0,Central,United States
B-25915,2024-02-01,2024-02,Adam Clark,Consumer,Office Supplies,Binders,Binder,10,343.3,3433.0,0.2,1169.0,COD,Standard Class,San Francisco,California,95928.0,West,United States
B-25915,2021-09-09,2021-09,Amy Olsen,Corporate,Office Supplies,Binders,Binder,10,343.3,3433.0,0.0,1169.0,COD,Standard Class,Springfield,Illinois,61604.0,Central,United States
B-25915,2021-09-08,2021-09,Stacey Miller,Consumer,Office Supplies,Binders,Binder,10,343.3,3433.0,0.0,1169.0,COD,Standard Class,San Diego,California,95351.0,West,United States
B-25915,2024-02-01,2024-02,Adam Clark,Home Office,Office Supplies,Binders,Binder,1,3887.0,3887.0,0.0,1490.0,Debit Card,Standard Class,San Francisco,California,91730.0,West,United States
B-25915,2021-09-09,2021-09,Amy Olsen,Corporate,Office Supplies,Binders,Binder,1,3887.0,3887.0,0.1,1490.0,Debit Card,First Class,Springfield,Illinois,60543.0,Central,United States
B-25915,2021-09-08,2021-09,Stacey Miller,Consumer,Office Supplies,Binders,Binder,1,3887.0,3887.0,0.2,1490.0,Debit Card,Standard Class,San Diego,California,94061.0,West,United States
B-26496,2024-07-09,2024-07,Daniel Mosley,Consumer,Office Supplies,Markers,Marker,20,90.05,1801.0,0.0,641.0,Credit Card,Standard Class,Los Angeles,California,95616.0,West,United States
B-26496,2024-07-09,2024-07,Daniel Mosley,Home Office,Furniture,Tables,Table,10,530.1,5301.0,0.0,817.0,Debit Card,Standard Class,Los Angeles,California,95351.0,West,United States
